"id","district_full_code","country_code","country_name","province_code","province_name","city_code","city_full_code","city_name","district_code","district_name","ctime","mtime"
1,"110101","86",中国,"11",北京,"01","1101",北京市,"01",东城区,"2017-02-13","2017-02-13"
2,"110102","86",中国,"11",北京,"01","1101",北京市,"02",西城区,"2017-02-13","2017-02-13"
3,"110105","86",中国,"11",北京,"01","1101",北京市,"05",朝阳区,"2017-02-13","2017-02-13"
4,"110106","86",中国,"11",北京,"01","1101",北京市,"06",丰台区,"2017-02-13","2017-02-13"
5,"110107","86",中国,"11",北京,"01","1101",北京市,"07",石景山区,"2017-02-13","2017-02-13"
6,"110108","86",中国,"11",北京,"01","1101",北京市,"08",海淀区,"2017-02-13","2017-02-13"
7,"110109","86",中国,"11",北京,"01","1101",北京市,"09",门头沟区,"2017-02-13","2017-02-13"
8,"110111","86",中国,"11",北京,"01","1101",北京市,"11",房山区,"2017-02-13","2017-02-13"
9,"110112","86",中国,"11",北京,"01","1101",北京市,"12",通州区,"2017-02-13","2017-02-13"
10,"110113","86",中国,"11",北京,"01","1101",北京市,"13",顺义区,"2017-02-13","2017-02-13"
11,"110114","86",中国,"11",北京,"01","1101",北京市,"14",昌平区,"2017-02-13","2017-02-13"
12,"110115","86",中国,"11",北京,"01","1101",北京市,"15",大兴区,"2017-02-13","2017-02-13"
13,"110116","86",中国,"11",北京,"01","1101",北京市,"16",怀柔区,"2017-02-13","2017-02-13"
14,"110117","86",中国,"11",北京,"01","1101",北京市,"17",平谷区,"2017-02-13","2017-02-13"
15,"110228","86",中国,"11",北京,"02","1102",北京市,"28",密云县,"2017-02-13","2017-02-13"
16,"110229","86",中国,"11",北京,"02","1102",北京市,"29",延庆县,"2017-02-13","2017-02-13"
17,"120101","86",中国,"12",天津,"01","1201",天津市,"01",和平区,"2017-02-13","2017-02-13"
18,"120102","86",中国,"12",天津,"01","1201",天津市,"02",河东区,"2017-02-13","2017-02-13"
19,"120103","86",中国,"12",天津,"01","1201",天津市,"03",河西区,"2017-02-13","2017-02-13"
20,"120104","86",中国,"12",天津,"01","1201",天津市,"04",南开区,"2017-02-13","2017-02-13"
21,"120105","86",中国,"12",天津,"01","1201",天津市,"05",河北区,"2017-02-13","2017-02-13"
22,"120106","86",中国,"12",天津,"01","1201",天津市,"06",红桥区,"2017-02-13","2017-02-13"
23,"120110","86",中国,"12",天津,"01","1201",天津市,"10",东丽区,"2017-02-13","2017-02-13"
24,"120111","86",中国,"12",天津,"01","1201",天津市,"11",西青区,"2017-02-13","2017-02-13"
25,"120112","86",中国,"12",天津,"01","1201",天津市,"12",津南区,"2017-02-13","2017-02-13"
26,"120113","86",中国,"12",天津,"01","1201",天津市,"13",北辰区,"2017-02-13","2017-02-13"
27,"120114","86",中国,"12",天津,"01","1201",天津市,"14",武清区,"2017-02-13","2017-02-13"
28,"120115","86",中国,"12",天津,"01","1201",天津市,"15",宝坻区,"2017-02-13","2017-02-13"
29,"120116","86",中国,"12",天津,"01","1201",天津市,"16",滨海新区,"2017-02-13","2017-02-13"
30,"120221","86",中国,"12",天津,"02","1202",天津市,"21",宁河县,"2017-02-13","2017-02-13"
